metric,model,basic,intermediate,complete
num_tests,ai-1,82.50,90.50,133.00
num_tests,ai-2,22.00,23.50,49.50
num_tests,ai-3,11.00,22.50,23.50
line_coverage,ai-1,98.80,98.71,98.78
line_coverage,ai-2,95.91,97.87,98.27
line_coverage,ai-3,93.18,93.75,93.94
branch_coverage,ai-1,91.16,90.45,91.16
branch_coverage,ai-2,55.77,72.22,76.92
branch_coverage,ai-3,32.29,32.05,50.00
mutation_score,ai-1,76.29,76.92,77.03
mutation_score,ai-2,90.70,91.02,100.00
mutation_score,ai-3,63.89,87.27,85.00
golden_passed,ai-1,58.00,58.00,58.00
golden_passed,ai-2,58.00,57.00,58.00
golden_passed,ai-3,57.00,54.50,54.50
own_fail_ratio,ai-1,0.00,0.00,0.02
own_fail_ratio,ai-2,0.00,0.00,0.02
own_fail_ratio,ai-3,0.09,0.05,0.11
smell_ratio,ai-1,0.00,0.01,0.00
smell_ratio,ai-2,0.00,0.00,0.00
smell_ratio,ai-3,0.00,0.00,0.00
