model,prompt_level,run,num_tests,line_coverage,branch_coverage,mutation_score,mutation_excluded_tests,golden_failed,golden_passed,own_failed,own_passed,own_fail_ratio,smells,smell_ratio
ai-1,basic,01,104,98.59,90.9,73.96,5,2,58,0,88,0.0,2,0.0192
ai-1,basic,02,81,98.55,85.71,93.75,1,2,58,1,80,0.0123,0,0.0
ai-1,basic,03,67,98.41,82.35,86.44,0,2,58,0,55,0.0,10,0.1493
ai-1,basic,04,85,98.83,90.62,73.26,0,2,58,0,85,0.0,0,0.0
ai-1,basic,05,81,98.8,91.42,76.29,0,2,58,0,81,0.0,0,0.0
ai-1,basic,06,86,98.79,91.89,75.26,0,2,58,0,86,0.0,0,0.0
ai-1,basic,07,76,98.8,91.42,76.29,0,2,58,0,76,0.0,0,0.0
ai-1,basic,08,72,98.43,84.21,100.0,0,2,58,0,72,0.0,0,0.0
ai-1,basic,09,91,98.83,91.42,76.29,0,2,58,0,91,0.0,0,0.0
ai-1,basic,10,84,98.9,91.89,75.26,0,2,58,0,84,0.0,0,0.0
ai-1,complete,01,174,98.57,90.9,61.46,23,2,58,1,151,0.0066,2,0.0115
ai-1,complete,02,102,98.79,91.89,72.16,6,2,58,6,96,0.0588,0,0.0
ai-1,complete,03,162,98.88,91.89,75.26,1,2,58,1,161,0.0062,0,0.0
ai-1,complete,04,135,98.5,90.9,78.02,7,2,58,3,112,0.0261,4,0.0296
ai-1,complete,05,127,98.57,86.36,91.04,2,2,58,2,125,0.0157,0,0.0
ai-1,complete,06,145,100,100,81.18,3,2,58,3,142,0.0207,0,0.0
ai-1,complete,07,107,98.79,91.42,76.04,2,2,58,2,105,0.0187,0,0.0
ai-1,complete,08,149,98.8,92.1,74.0,3,2,58,3,146,0.0201,0,0.0
ai-1,complete,09,131,98.78,90.9,78.89,3,2,58,3,128,0.0229,0,0.0
ai-1,complete,10,125,98.7,90,81.18,2,2,58,2,123,0.016,0,0.0
ai-1,intermediate,01,83,98.11,83.33,81.48,19,3,57,3,64,0.0448,2,0.0241
ai-1,intermediate,02,90,98.78,90.9,76.92,0,2,58,0,90,0.0,0,0.0
ai-1,intermediate,03,97,98.73,88.88,78.38,0,2,58,0,97,0.0,0,0.0
ai-1,intermediate,04,91,98.36,88.88,,0,2,58,1,66,0.0149,2,0.022
ai-1,intermediate,05,80,98.79,91.42,76.04,0,2,58,0,80,0.0,0,0.0
ai-1,intermediate,06,102,98.78,91.42,76.04,1,2,58,1,101,0.0098,0,0.0
ai-1,intermediate,07,88,98.57,91.42,78.57,4,3,57,0,74,0.0,2,0.0227
ai-1,intermediate,08,105,89.28,85.71,61.86,16,2,58,16,89,0.1524,2,0.019
