ID,Group,Tests,TestExecutions,TestExecutionsCoverage,DebuggerUses,Levels,FailedGoldenTests,PassedGoldenTests,Grade,FailedOwnTests,RatioTestFailed,LineCoverage,BranchCoverage,MutationScore,Testing,Main,TestSmells,RatioTestSmells,Notifications,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
1,Control,11,33,0,0,6,4,56,27,0,0,0.913793103448276,0.35,39.13,1,0,0,0,58,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,34,34,0,2,0,0,2,0,8
2,Control,20,39,0,2,7,1,59,27,0,0,0.939393939393939,0.5,62.5,1,0,0,0,71,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,21,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,2,52,41,0,4,0,0,4,0,36
3,Control,0,0,0,0,0,32,28,21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,Control,1,1,0,0,0,32,28,27,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,Control,57,59,0,0,9,1,53,30,7,0.12280701754386,0.983606557377049,0.842105263157895,71.84,1,0,0,0,97,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,58,0,0,0,0,8,0,0,0,58,0,0,0,0,0,0,0,185,60,0,1,0,0,1,0,128
6,Control,0,0,0,0,0,28,26,27,1,0,0.975609756097561,0.538461538461538,45.12,0,1,2,0,19,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
7,Control,63,40,0,0,8,2,58,27,0,0,0.857142857142857,0.72093023255814,9.59,1,1,0,0,71,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,64,18,0,79,12,9,0,0,0,65,0,0,0,0,0,1,0,580,47,0,1,0,0,1,0,65
8,Control,14,56,3,2,11,21,39,12,2,0.142857142857143,0.914285714285714,0.823529411764706,29.35,1,1,0,0,87,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,14,35,0,85,24,0,0,0,0,14,0,0,0,0,0,4,2,151,62,0,3,0,0,3,0,29
9,Control,1,3,0,0,2,30,30,24,2,1,0.933333333333333,0.533333333333333,36.25,1,1,0,0,58,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,36,36,0,1,0,0,1,0,8
10,Control,1,4,0,0,2,32,28,24,0,0,0.879310344827586,0.7,47.2,1,1,0,0,24,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,1
