ID,Group,Age,Gender,Occupation,Experience with JavaScript,Experience with Jest,Which OS do you use?,Please specify your level of agreement: [I had enough time to finish implementing the class],Please specify your level of agreement: [I had enough time to finish testing the class],Please specify your level of agreement: [It was easy to implement the target class.],Please specify your level of agreement: [I have produced a good implementation.],Please specify your level of agreement: [I have produced a good test suite.],Please specify your level of agreement: [I am certain my implementation is correct.],Please specify your level of agreement: [The target class was easy to understand.],Please specify your level of agreement: [I actively tested my code.],Please specify your level of agreement: [I wrote tests during development.],Please specify your level of agreement: [I applied TDD.],Please specify your level of agreement: [The achievement system improved my programming behaviour.],Please specify your level of agreement: [The notifications have spurred me on to make progress.],Please specify your level of agreement: [I would also like to use the plugin in everyday programming myself.],Please specify your level of agreement: [The individual achievements were well described and I knew how to achieve them.],Please specify your level of agreement: [The progress of the individual achievements was visible and easy to understand.],Please specify your level of agreement: [The frequency of notifications was good.],Please specify your level of agreement: [The plugin motivated me to test my code better.],Do you have any suggestions on how to improve the plugin?,Which IDEs do you use?,Exam Grade,Approximated grade
1,Control,24,Male,Studente,< 3 months,< 3 months,Windows,Partially disagree,Fully disagree,Neither agree nor disagree,Partially agree,Fully disagree,Fully disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"Webstorm, CLion, Visual Studio, VS Code, Eclipse",27.58,27
2,Control,24,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially disagree,,,,,,,,,VS Code,0,0
3,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Partially disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Partially agree,,,,,,,,,VS Code,0,0
4,Control,28,Male,Student,>= 6 months && < 1 year,< 3 months,Linux,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Fully agree,Fully agree,Partially disagree,,,,,,,,,"IntelliJ, VS Code, Lite XL",31.5,33
5,Control,26,Male,penetration tester / student,>= 3 months && < 6 months,< 3 months,Linux,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,"VS Code, vim",20,21
6,Control,30,Male,Master Degree Student,>= 1 year && < 3 years,< 3 months,Windows,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,,,,,,,,,Visual Studio Code,27.7,27
7,Control,24,Male,Student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially disagree,,,,,,,,,"IntelliJ, CLion, VS Code, Eclipse",29.5,30
8,Control,24,Male,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,,,,,,,,,IntelliJ,24.58,24
9,Control,24,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Fully disagree,,,,,,,,,"IntelliJ, PyCharm, VS Code",27.58,27
10,Control,22,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,,,,,,,,,"IntelliJ, VS Code",27.73,27
